hca_db_vid,hca_db_title,sv_volume,sv_xml_id,sv_xml_id_source,sv_incipit,sv_source_file,match_method,status
2181,Med en afbildning  (Alt skifter om på tidens bud),SV8,alt-skifter-om-paa-tidens-bud,derived,"Alt skifter om paa Tidens Bud,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2185,"A. de Neergård og O. C. Kahrs (Bryllupssange VIII) (Nu er den tid, som allerbedst)",SV8,nu-er-den-tid-som-allerbedst,derived,"Nu er den Tid, som allerbedst",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2186,I Afrika (Jeg er ovre i Marokko),SV8,jeg-er-ovre-i-marokko,derived,Jeg er ovre i Marokko!,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2188,Brev til digteren Christian Winther (Et digt forlanger De! jeg ejer intet),SV8,et-digt-forlanger-de-jeg-eier-intet,derived,"Et Digt forlanger De! jeg eier intet,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2192,"Malaga 8 (I Norden, i kakkelovnskrogen)",SV8,i-norden-i-kakkelovnskrogen,derived,"I Norden, i Kakkelovnskrogen,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2194,"Afsked med Toledo (Vær hilset, du fortids Toledo)",SV8,vaer-hilset-du-fortids-toledo,derived,"Vær hilset Du Fortids Toledo,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2195,Alhambra (Som en æolsharpe brudt itu),SV8,som-en-aeolsharpe-brudt-itu,derived,"Som en Æolsharpe, brudt itu,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2197,"Afsked med Spanien (Spanien, hvilken rigdom har du)",SV8,spanien-hvilken-rigdom-har-du,derived,"Spanien, hvilken Rigdom har Du",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2198,Sang ved Herr Lauritz Eckardt's og Frøken Josephine Thorberg's Bryllup den 17de Juni 1863. (Hvor Holger Danske boer paa Sundets Hjørne),SV8,hvor-holger-danske-boer-paa-sundets-hjoerne,derived,"Hvor Holger Danske boer paa Sundets Hjørne,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2199,"Sang ved Frøken Pauline Brøndums og Hr. Nicolai Ørsteds Bryllup den 2den September 1863. (I Skriften staaer: »det er ei godt, at Mennesket er ene«).",SV8,i-skriften-staaer-det-er-ei-godt,derived,"I Skriften staaer: »det er ei godt,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2204,Malaga 3 (Flodlejet ligger udtørret),SV8,flodleiet-ligger-udtoerret,derived,Flodleiet ligger udtørret,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2207,Malaga 7 (Som en lotus på den stille sø),SV8,som-en-lotus-paa-den-stille-soe,derived,Som en Lotus paa den stille Sø,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2211,"Granada I , 4 (Jeg leve vil i Granada)",SV8,jeg-leve-vil-i-granada,derived,"Jeg leve vil i Granada,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2213,"Granada II, 2 (Giv af dit hjerte til folk og til slægt)",SV8,giv-af-dit-hjerte-til-folk-og-til-slaegt,derived,"Giv af dit Hjerte til Folk og til Slægt,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2214,"Granada II, 3 (Den, som jeg gav af mit hjerteblod)",SV8,den-som-jeg-gav-af-mit-hjerteblod,derived,"Den, som jeg gav af mit Hjerteblod,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2219,Cigaren (Cigarens glød er et ildsted),SV8,cigarens-gloed-er-et-ildsted,derived,"Cigarens Glød er et Ildsted,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2237,"Ved landgrevinde Louise Charlottes bisættelse i Roskilde Domkirke   (I kongesal, i armods stue,)",SV8,i-kongesal-i-armods-stue,derived,"I Kongesal, i Armods Stue,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2238,Forvisning (Endnu er ej Danmark en kæmpegrav),SV8,endnu-er-ei-danmark-en-kaempegrav,derived,Endnu er ei Danmark en Kæmpegrav,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2239,"Clara Hartmann og August Winding (Bryllupssange IX) (I prøvens tid, på alvors dag)",SV8,i-proevens-tid-paa-alvors-dag,derived,"I Prøvens Tid, paa Alvors Dag,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2240,Trøst i tro (Skal vi ej mere synge igen),SV8,skal-vi-ei-mere-synge-igjen,derived,Skal vi ei mere synge igjen:,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2241,Jeg har en angst som aldrig før (Jeg har en angst som aldrig før),SV8,jeg-har-en-angst-som-aldrig-foer,derived,"Jeg har en Angst som aldrig før,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2242,Med prinsesse Dagmars portræt  (I Danmark navnet Dagmar er fyrstinden),SV8,i-danmark-navnet-dagmar-er-fyrstinden,derived,"I Danmark Navnet Dagmar er Fyrstinden,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2244,Ved efterretningen om Michael Wiehes død (Det er en trængsels tid med tab på tab),SV8,det-er-en-traengsels-tid-med-tab-paa-tab,derived,Det er en Trængsels Tid med Tab paa Tab;,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2245,Slutnings-Sang. Den 16. Februar 1865. Trykt hos S. Trier. Mel.: Vift stolt paa Codans Bølge. (»Farvel« i Billedrække).,SV8,farvel-i-billedraekke,derived,»Farvel« i Billedrække,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2246,"Louise Collin og B.C.W. Lind (Sølvbryllupssange VI) (Erindrer du -? Ja, det er længe siden)",SV8,erindrer-du-ja-det-er-laenge-siden,derived,"Erindrer Du –? Ja det er længe siden,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2248,Vers-vignet (På ungdommens friske rosenblad),SV8,paa-ungdommens-friske-rosenblad,derived,Paa Ungdommens friske Rosenblad,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2249,Et besøg i Portugal 1866 6 (Du evighedens gåde),SV8,du-evighedens-gaade,derived,"Du Evighedens Gaade,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2251,Danske poeter i buket  (En mindets urtekost du her skal få),SV8,en-mindets-urtekost-du-her-skal-faae,derived,"En Mindets Urtekost du her skal faae,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2253,(Hun drømte om Alfer i Stuens Krog).,SV8,hun-droemte-om-alfer-i-stuens-krog,derived,"Hun drömte om Alfer i Stuens Krog,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2255,(Jeg er en Dame med Slæb og Maneer).,SV8,jeg-er-en-dame-med-slaeb-og-maneer,derived,"Jeg er en Dame med Slæb og Maneer,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2256,"(Jovist faaer du Sukker, men før det kan skee).",SV8,jovist-faaer-du-sukker-men-foer-det-kan-skee,derived,"Jovist faaer Du Sukker men för det kan skee,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2257,(Med fire Heste jeg flyver afsted).,SV8,med-fire-heste-jeg-flyver-afsted,derived,"Med fire Heste jeg flyver afsted,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2258,(Læs Aftenbønnen før du sover ind).,SV8,laes-aftenboennen-foer-du-sover-ind,derived,"Læs Aftenbönnen för Du sover ind,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2259,Epiloger III (En epilog - dens kreds går vidt),SV8,en-epilog-dens-kreds-gaaer-vidt,derived,En Epilog – dens Kreds gaaer vidt,firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2260,"Riimbrev til den lille Thea. (Min lille, velsignede Thea, Jo, Du er rigtig min Ven!).",SV8,min-lille-velsignede-thea,derived,"Min lille, velsignede Thea,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2262,Johanne Melchior og J. B. Melchior(Bryllupssange XI) (Smyk huset smukt med festligt flag),SV8,smyk-huset-smukt-med-festligt-flag,derived,"Smyk Huset smukt med festligt Flag,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2263,"Uden Haab. (Solen alt synker, Bølgerne gaae).",SV8,solen-alt-synker-boelgerne-gaae,derived,"Solen alt synker, Bølgerne gaae,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2264,På sølvbryllupsfesten (Fra Vilhelm Tells til Palnatokes hjem),SV8,fra-vilhelm-tells-til-palnatokes-hjem,derived,"Fra Vilhelm Tells til Palnatokes Hjem,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2265,"Lucia Scavenius og Carl Castenskjold (Bryllupssange XII) (I gammelt sagn, i tider mørke, hårde)",SV8,i-gammelt-sagn-i-tider-moerke-haarde,derived,"I gammelt Sagn, i Tider mørke, haarde,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2266,Efter H. Heine  (I mit bryst er klokkeklang),SV8,i-mit-bryst-er-klokkeklang,derived,"I mit Bryst er Klokkeklang,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2268,"I dødsstunden (Jeg er så glad, så sjælefro)",SV8,jeg-er-saa-glad-saa-sjaelefro,derived,"Jeg er saa glad, saa sjælefro,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2269,"Sneglespyt (Den våde, sorte snegl ved rosen sad)",SV8,den-vaade-sorte-snegl-ved-rosen-sad,derived,"Den vaade, sorte Snegl ved Rosen sad",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,exact,candidate
2271,"Møllerens datter (Bag ellekrattet nede, hvor møllehjulet går)",SV8,bag-ellekrattet-nede-hvor-moellehjulet-gaaer,derived,"Bag Ellekrattet nede, hvor Møllehjulet gaaer,",firstline2024-09-22/Andersen 8 - Digte II_w_notes_2024-06-23_Rebecca.xml,prefix,candidate
2272,Juletid (“Halleluja”! sang englehæren),SV7,halleluja-sang-englehaeren,tei,»Halleluja!« sang Englehæren,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
